Hillnumber,Arearef,Alt_Area,AreaLinkID
2465,NE02      ,False,1
2466,NE04      ,False,2
3071,M06B      ,False,3
3072,M06B      ,False,4
3073,M06B      ,False,5
3074,M06B      ,False,6
3075,M06B      ,False,7
3076,M06B      ,False,8
3077,M06B      ,False,9
3078,M06B      ,False,10
3079,M06B      ,False,11
3080,M06B      ,False,12
3081,M06B      ,False,13
3082,M06B      ,False,14
3083,M06B      ,False,15
3084,M06B      ,False,16
3085,M06B      ,False,17
3086,M06B      ,False,18
3087,M07B      ,False,19
3088,M07A      ,False,20
3089,M07B      ,False,21
3090,M07A      ,False,22
3091,M07B      ,False,23
3092,M07A      ,False,24
3093,M07A      ,False,25
3094,M07B      ,False,26
3095,M07A      ,False,27
3096,M07A      ,False,28
3097,M07B      ,False,29
3098,M07B      ,False,30
3099,M07A      ,False,31
3100,M07B      ,False,32
3101,M07A      ,False,33
3102,M07A      ,False,34
3103,M07A      ,False,35
3104,M07A      ,False,36
3105,M07B      ,False,37
3106,M07B      ,False,38
3107,M07A      ,False,39
3108,M07A      ,False,40
3109,M07B      ,False,41
3110,M07A      ,False,42
3111,M07B      ,False,43
3112,M07A      ,False,44
3113,M07A      ,False,45
3114,M07B      ,False,46
3115,M08A      ,False,47
3116,M08A      ,False,48
3117,M08A      ,False,49
3118,M08B      ,False,50
3136,M09B      ,False,51
3137,M09B      ,False,52
3138,M09B      ,False,53
3139,M09B      ,False,54
3140,M09B      ,False,55
3141,M09B      ,False,56
3142,M09B      ,False,57
3143,M09B      ,False,58
3144,M09B      ,False,59
3145,M09B      ,False,60
3146,M09B      ,False,61
3147,M09B      ,False,62
3148,M09B      ,False,63
2467,NE05      ,False,64
2468,NE04      ,False,65
2469,NE05      ,False,66
2470,NE04      ,False,67
2471,NE03      ,False,68
2472,NE04      ,False,69
2473,NE05      ,False,70
2474,NE03      ,False,71
2475,NE04      ,False,72
2476,NE03      ,False,73
2477,NE02      ,False,74
2478,NE04      ,False,75
2479,NE03      ,False,76
2480,NE02      ,False,77
2481,NE03      ,False,78
2482,NE03      ,False,79
2483,NE04      ,False,80
2484,NE03      ,False,81
2485,NE05      ,False,82
2486,NE02      ,False,83
2487,NE04      ,False,84
2488,NE02      ,False,85
2489,NE02      ,False,86
2490,NE02      ,False,87
2491,NE04      ,False,88
2492,NE03      ,False,89
2493,NE03      ,False,90
2494,NE04      ,False,91
2495,NE03      ,False,92
2496,NE04      ,False,93
2497,NE03      ,False,94
2498,NE04      ,False,95
2499,NE04      ,False,96
2500,NE04      ,False,97
2501,NE02      ,False,98
2502,NE02      ,False,99
2503,NE02      ,False,100
2504,NE03      ,False,101
2505,NE03      ,False,102
2506,NE05      ,False,103
2507,NE04      ,False,104
2508,NE05      ,False,105
2509,NE03      ,False,106
2510,NE02      ,False,107
2511,NE03      ,False,108
2512,NE03      ,False,109
2513,NE02      ,False,110
2514,NE05      ,False,111
2515,C53       ,False,112
2515,NE06      ,False,113
2516,NE06      ,False,114
2517,NE06      ,False,115
2518,NE06      ,False,116
2519,NE06      ,False,117
2520,NE06      ,False,118
2521,NE06      ,False,119
2522,NE06      ,False,120
2523,NE06      ,False,121
2524,NE06      ,False,122
2525,NE06      ,False,123
2526,NE06      ,False,124
2527,NE06      ,False,125
2528,NE07      ,False,126
2529,NE06      ,False,127
2530,NE07      ,False,128
2531,NE06      ,False,129
2532,NE07      ,False,130
2533,NE06      ,False,131
2534,NE06      ,False,132
2535,NE07      ,False,133
2536,NE07      ,False,134
2537,NE07      ,False,135
2538,NE06      ,False,136
2539,NE06      ,False,137
2540,NE07      ,False,138
2541,NE07      ,False,139
2542,NE07      ,False,140
2543,NE06      ,False,141
2544,NE07      ,False,142
2545,NE06      ,False,143
2546,NE07      ,False,144
2547,NE06      ,False,145
2548,NE07      ,False,146
2549,NE06      ,False,147
2550,NE07      ,False,148
2551,NE07      ,False,149
2552,NE07      ,False,150
2553,NE07      ,False,151
2554,NE06      ,False,152
2555,NE07      ,False,153
2556,NE07      ,False,154
2557,NE07      ,False,155
2558,NE07      ,False,156
2559,NE07      ,False,157
2560,NE06      ,False,158
2561,NE07      ,False,159
2562,NE06      ,False,160
3149,M09B      ,False,161
3150,M09B      ,False,162
3151,M09B      ,False,163
3152,M09B      ,False,164
3153,M09B      ,False,165
3154,M09B      ,False,166
3155,M09B      ,False,167
3156,M09B      ,False,168
3157,M09B      ,False,169
3158,M09B      ,False,170
3159,M09B      ,False,171
3160,M09B      ,False,172
3161,M09B      ,False,173
3162,M09B      ,False,174
3163,M09B      ,False,175
3164,M09B      ,False,176
3165,M09B      ,False,177
3166,M09B      ,False,178
3167,M09B      ,False,179
3168,M09B      ,False,180
3169,M09B      ,False,181
3170,M09B      ,False,182
3171,M09B      ,False,183
3172,M09B      ,False,184
3173,M09B      ,False,185
3174,M09B      ,False,186
3175,M09C      ,False,187
3176,M09C      ,False,188
3177,M09C      ,False,189
3178,M09C      ,False,190
3179,M09C      ,False,191
3942,M01B      ,False,192
3943,M01B      ,False,193
3944,M01B      ,False,194
3945,M01B      ,False,195
3946,M01B      ,False,196
3947,M01B      ,False,197
3948,M01B      ,False,198
3949,M01B      ,False,199
3950,M01C      ,False,200
3951,M01C      ,False,201
3952,M01C      ,False,202
3953,M01C      ,False,203
3954,M01C      ,False,204
3955,M01C      ,False,205
3956,M01C      ,False,206
3957,M01C      ,False,207
3958,M01C      ,False,208
3959,M01C      ,False,209
3960,M01C      ,False,210
3961,M01C      ,False,211
3962,M01C      ,False,212
3963,M01C      ,False,213
3964,M01C      ,False,214
3965,M01C      ,False,215
3966,M01C      ,False,216
3967,M01C      ,False,217
3968,M01C      ,False,218
